"Story","Title","Result","Date","Stability","Duration (s)"
"Inicio de sesión usuario","Inicio de sesión exitoso.","ERROR","2023-08-03T15:35:31.7420496-05:00[America/Bogota]","0.0","45.01"
"Inicio de sesión usuario","Inicio de sesión exitoso.","ERROR","2023-08-03T15:35:31.7420496-05:00[America/Bogota]","0.0","45.01"
