"Story","Title","Result","Date","Stability","Duration (s)"
"Inicio de sesión usuario","Inicio de sesión exitoso.","PENDING","2023-08-01T21:39:37.2773658-05:00[America/Bogota]","0.0","0.22"
"Inicio de sesión usuario","Inicio de sesión exitoso.","ERROR","2023-08-03T15:38:23.1085675-05:00[America/Bogota]","0.0","42.99"
